"gene_id","gene_name","label","de","brain_cp","brain_gz","neuron_count","oligo_count","micro_count","adolescence_parietal.lobe","adolescence_frontal.lobe","adolescence_temporal.lobe","adolescence_cerebellum","adolescence_occipital.lobe","adulthood_parietal.lobe","adulthood_frontal.lobe","adulthood_temporal.lobe","adulthood_cerebellum","adulthood_occipital.lobe"
"ENSG00000157103","SLC6A1",1,0.2459,3,2,2,4,0,82.0200911428571,86.6811596666667,77.2317110952381,67.9430175,97.1826786666667,63.1918091666667,61.9939699130435,71.1100244761905,74.4768868333333,70.5506794
"ENSG00000196639","HRH1",0,0.3445,2,5,7,0,1,3.08894242857143,3.40198916666667,2.43062814285714,0.101515,2.144915,2.98315391666667,2.97027195652174,2.17127421428571,0.0866821666666667,2.5055992
"ENSG00000144560","VGLL4",0,0.05674,6,20,14,35,6,8.61941642857143,9.03578066666667,7.97067604761905,6.26151675,8.78287333333333,8.73424075,8.5728837826087,7.19834323809524,6.2594875,8.3775308
"ENSG00000144559","TAMM41",0,0.6536,14,12,30,2,0,0.994897571428571,1.02740708333333,1.15877871428571,1.245191,0.909722333333333,1.14617933333333,1.17457360869565,1.23141171428571,1.12196183333333,1.18675
"ENSG00000157152","SYN2",1,0.432,5,4,11,0,0,82.0462322857143,86.71624575,84.8914103809524,62.01179575,47.2213573333333,99.452454,100.900536913043,92.826261,57.6821486666667,81.5103472
"ENSG00000163517","HDAC11",1,0.9926,14,15,0,1,0,16.84321,18.33151225,19.2448154285714,8.68861075,18.195119,12.2812414166667,14.0538720434783,17.0465898571429,7.8220055,12.4061046
"ENSG00000154764","WNT7A",1,0.294,12,20,8,2,0,4.261449,4.43745141666667,2.98819952380952,0.4630405,3.98392466666667,2.80990816666667,2.88714782608696,1.98374192857143,0.301537166666667,2.0228716
"ENSG00000154767","XPC",0,0.5235,3,3,0,0,4,4.55848442857143,5.04359716666667,5.07189628571429,5.00301975,4.80092866666667,5.18282191666667,5.53049630434783,5.7300090952381,5.204209,5.296362
"ENSG00000206561","COLQ",0,0.07976,1,2,0,0,0,1.33283414285714,1.27294391666667,1.41520166666667,1.3385625,1.351101,1.32669491666667,1.46602473913043,1.53000535714286,1.94934533333333,1.9716416
"ENSG00000131386","GALNT15",0,0.439844243331698,0,4,0,28,2,5.42888271428571,5.90806183333333,6.82938133333333,5.42373675,6.222644,5.42778341666667,6.08763208695652,7.71519940476191,4.61342533333333,5.1519676
"ENSG00000154814","OXNAD1",0,0.1278,8,9,0,0,0,1.85825585714286,1.74592058333333,1.71577028571429,1.3183625,1.81050966666667,2.43007591666667,2.271595,1.96008988095238,1.49253816666667,2.2439164
"ENSG00000131378","RFTN1",0,0.00328,8,11,86,0,5,13.7091911428571,14.4628899166667,9.80351880952381,2.69947875,11.2781466666667,12.9217746666667,12.5822064347826,7.8596454047619,2.36056316666667,13.6595282
"ENSG00000154822","PLCL2",0,0.07578,0,0,6,1,9,9.13571185714286,8.00334941666667,7.65430147619048,14.65819525,6.04925566666667,9.67882075,9.63806773913043,7.6166880952381,13.9164493333333,10.2529504
"ENSG00000131374","TBC1D5",-1,0.2528,1,1,0,0,0,5.98634628571429,5.84325375,6.00259876190476,5.6208545,5.00253266666667,6.96306025,6.93314791304348,6.46080964285714,5.63108933333333,6.2070916
"ENSG00000182568","SATB1",-1,0.4489,4,3,30,0,1,11.4453877142857,10.7431433333333,8.253382,3.2232015,9.19385866666667,14.27215625,14.1013206086957,8.41926695238095,3.531396,16.929891
"ENSG00000197885","NKIRAS1",0,0.2395,2,2,0,0,0,11.8418644285714,11.24982075,11.1107250952381,11.5264825,10.0283103333333,16.2591009166667,15.0103976086957,14.6562314047619,12.2749018333333,17.0698576
"ENSG00000163491","NEK10",0,0.00155,3,5,0,0,2,0.608086714285714,0.503219333333333,0.606801142857143,0.157956,0.440031,0.71711475,0.631299956521739,0.600281785714286,0.180193833333333,0.621897
"ENSG00000206559","ZCWPW2",0,0.03333,4,9,0,0,0,0.208990142857143,0.18590725,0.257815619047619,0.2220885,0.299839333333333,0.259750333333333,0.229803391304348,0.261760357142857,0.2156845,0.182094
"ENSG00000144642","RBMS3",0,0.462,1,1,0,0,4,0.862699714285714,0.850001,1.05523833333333,0.57256125,0.960161666666667,0.752816583333333,0.668419043478261,1.05236280952381,0.498222,0.6369752
"ENSG00000163513","TGFBR2",-1,0.9239,0,0,0,0,61,5.11981057142857,4.77990983333333,5.81814466666667,4.28520725,5.41214466666667,4.46986175,4.37595743478261,7.05282764285714,4.404856,4.5576836
"ENSG00000144644","GADL1",-1,0.432902,1,0,0,0,0,0.0103064285714286,0.01893575,0.021710380952381,0.009441,0.002469,0.0117201666666667,0.015608,0.0247650238095238,0.00810283333333333,0.0199498
"ENSG00000170293","CMTM8",0,0.339996,1,1,0,0,0,1.51234885714286,1.79932391666667,1.72561914285714,1.22049,1.30703933333333,1.41733433333333,1.53937160869565,1.73179469047619,1.27986433333333,1.292956
"ENSG00000173705","SUSD5",0,0.6982,0,0,1,0,0,4.56606071428571,4.32751358333333,3.65443928571429,0.91282,3.71906733333333,5.55187925,5.27796991304348,3.96270552380952,1.0203235,5.0026826
"ENSG00000144681","STAC",-1,0.432902,2,1,0,0,0,0.235210285714286,0.223528083333333,0.584981952380952,2.86812575,0.440575,0.171565666666667,0.132917086956522,0.631521142857143,3.00048433333333,0.4372766
